meanL/glare/step measured on the CONTENT PLANE (rail and pinned chrome excluded)
paper/crush/void/chroma measured on the WHOLE viewport

target          kind         theme  width  meanL  glare  step  paper  crush  void  chroma  breaches
public-lending  operational  light  1440   90     0      6.9   0      0      0     0       .
public-lending  operational  light  1024   89.8   0      11.4  0      0      0     0       .
public-lending  operational  light  768    89.6   0      10.6  0      0      0     0       .
public-lending  operational  light  390    86.2   0      19.2  0      0      0     0       .
public-lending  operational  dark   1440   14.5   0      6.3   0      0      0     0       .
public-lending  operational  dark   1024   14.8   0      12.6  0      0      0     0       .
public-lending  operational  dark   768    15.3   0      13.8  0      0      0     0       .
public-lending  operational  dark   390    15.9   0      22.4  0      0      0     0       .
public-request  operational  light  1440   89.8   4.41   8.8   0.04   0      0     0       .
public-request  operational  light  1024   89.2   0      10.5  0      0      0     0       .
public-request  operational  light  768    88.3   0      10.6  0      0      0     0       .
public-request  operational  light  390    87.2   0      17.9  0      0      0     0       .
public-request  operational  dark   1440   14.8   0.02   9.1   0.01   0      0     0       .
public-request  operational  dark   1024   14     0      12.1  0      0      0     0       .
public-request  operational  dark   768    12.9   0      13.8  0      0      0     0       .
public-request  operational  dark   390    16.2   0      20.9  0      0      0     0       .
overview        operational  light  1440   87.3   0      15.5  0.01   0.01   0     0       .
overview        operational  light  1024   86.6   0      9.1   0.02   0.01   0     0       .
overview        operational  light  768    87.5   0      11.9  0.03   0.01   0     0       .
overview        operational  light  390    84.3   0      29.9  0.05   0.03   0     0       .
overview        operational  dark   1440   15.7   0      20.3  0.01   8.42   0.87  0       .
overview        operational  dark   1024   16     0      14.5  0.02   11.37  1.51  0       .
overview        operational  dark   768    16.2   0      16.9  0.02   0.09   0     0       .
overview        operational  dark   390    16.4   0      19.9  0.04   0.22   0     0       .
inventory       operational  light  1440   89.5   0      14.6  0.01   0.01   0     0       .
inventory       operational  light  1024   88.6   0      9.2   0.02   0.01   0     0       .
inventory       operational  light  768    89.6   0      12.1  0.03   0.01   0     0       .
inventory       operational  light  390    86.6   0      33.9  0.05   0.03   0     0       .
inventory       operational  dark   1440   14.3   0      17.8  0.01   7.4    0.87  0       .
inventory       operational  dark   1024   14.4   0      11.8  0.02   10.98  1.51  0       .
inventory       operational  dark   768    15.1   0      18.9  0.02   0.09   0     0       .
inventory       operational  dark   390    15.7   0      19.7  0.04   0.2    0     0       .
request-center  operational  light  1440   88.5   0      14.8  0.01   0.01   0     0       .
request-center  operational  light  1024   87.7   0      9.8   0.02   0.01   0     0       .
request-center  operational  light  768    89     0      13    0.03   0.01   0     0       .
request-center  operational  light  390    85.6   0      36.8  0.05   0.03   0     0       .
request-center  operational  dark   1440   15     0      18.8  0.01   8.42   0.87  0       .
request-center  operational  dark   1024   15.4   0      15.2  0.02   10.79  1.51  0       .
request-center  operational  dark   768    15.7   0      16    0.02   0.09   0     0       .
request-center  operational  dark   390    16.2   0      21.3  0.04   0.2    0     0       .
lending         operational  light  1440   88.7   0      15.5  0.01   0.01   0     0       .
lending         operational  light  1024   88     0      10.6  0.02   0.01   0     0       .
lending         operational  light  768    89.2   0      12.6  0.03   0.01   0     0       .
lending         operational  light  390    85.5   0      39.8  0.05   0.03   0     0       .
lending         operational  dark   1440   14.7   0      19    0.01   8.32   0.87  0       .
lending         operational  dark   1024   14.4   0      13.4  0.02   9.87   1.51  0       .
lending         operational  dark   768    15     0      16.6  0.02   0.09   0     0       .
lending         operational  dark   390    15     0      23.2  0.04   0.2    0     0       .
release         operational  light  1440   88.9   0      15.4  0.01   0.01   0     0       .
release         operational  light  1024   88.1   0      10    0.02   0.01   0     0       .
release         operational  light  768    89.1   0      12.2  0.03   0.01   0     0       .
release         operational  light  390    86     0      29.9  0.05   0.03   0     0       .
release         operational  dark   1440   14.6   0      18.6  0.01   7.81   0.87  0       .
release         operational  dark   1024   14.6   0      13.7  0.02   9.62   1.51  0       .
release         operational  dark   768    15.3   0      17.6  0.02   0.09   0     0       .
release         operational  dark   390    15.8   0      18.9  0.04   0.2    0     0       .
admin           operational  light  1440   88.8   0      16.1  0.01   0.01   0     0       .
admin           operational  light  1024   86.9   0      43.6  0.02   0.01   0     0       WAIVED step=43.6 (want 0..40)
admin           operational  light  768    88.9   0      47.3  0.03   0.01   0     0       WAIVED step=47.3 (want 0..40)
admin           operational  light  390    84.3   0      50.2  0.05   0.03   0     0       WAIVED step=50.2 (want 0..40)
admin           operational  dark   1440   14.7   0.05   17.5  0.01   8.12   0.87  0       .
admin           operational  dark   1024   14     0.09   22.3  0.02   11.4   1.51  0       .
admin           operational  dark   768    14.7   0.07   20.7  0.02   0.09   0     0       .
admin           operational  dark   390    14.7   0.17   25.9  0.04   0.2    0     0       .
landing         identity     light  1440   37.5   0      64.4  0.01   2.57   0.03  0       .
landing         identity     light  1024   32.7   0      46.8  0.02   3.03   0.07  0       .
landing         identity     light  768    34.4   0      62.9  0.02   1.31   0.02  0       .
landing         identity     light  390    38.5   0      54.8  0.05   1.05   0     0       .
landing         identity     dark   1440   18.3   4.82   28.3  0.01   15.16  0.22  0       .
landing         identity     dark   1024   19.7   4.69   31.7  0.02   16.56  0.3   0       .
landing         identity     dark   768    19.9   3.16   31.1  0.02   12.32  0.1   0       .
landing         identity     dark   390    26.8   7.59   67.2  0.04   18.35  0.08  0       .
signin          identity     light  1440   87.6   0      38    0.31   0.01   0     0       .
signin          identity     light  1024   87.2   0      49.3  0.55   0.01   0     0       .
signin          identity     light  768    87.4   0      27.7  0.63   0.01   0     0       .
signin          identity     light  390    86.8   0.01   59    0.59   0.03   0     0       .
signin          identity     dark   1440   12.7   0.02   17.6  0.01   0.05   0     0       .
signin          identity     dark   1024   13.2   0.03   15.5  0.01   0.09   0     0       .
signin          identity     dark   768    14.3   0.04   10.5  0.01   0.1    0     0       .
signin          identity     dark   390    16.6   0.08   23.4  0.02   0.23   0.01  0       .

80/80 captures inside the comfort bar (3 by named waiver)

WAIVER  single oxblood primary action ("Invite account") against the light plane. IMPECCABLE_V4_VISUAL_SYSTEM records oxblood as the primary-action colour, and there is exactly one per surface: a deliberate high-contrast control, not two surfaces disagreeing. The rest of the Admin plane measures 16.1.
