worst-case text contrast over imagery, gradients and glass

target          theme  width  worst  min  label                  
PASS  landing         light  1440   4.87   4.5  Department of Logistics
PASS  signin          light  1440   4.87   4.5  Department of Logistics
PASS  landing         dark   1440   6.20   4.5  Department of Logistics
PASS  signin          dark   1440   6.20   4.5  Department of Logistics
PASS  public-request  light  390    8.48   4.5  Request Center         
PASS  overview        light  1440   9.14   4.5  ROUTE CONSOLE · 04     
PASS  public-lending  light  390    9.32   4.5  Lending Center         
PASS  public-request  light  1440   10.12  4.5  Request Center         
PASS  public-lending  light  1440   10.36  4.5  Lending Center         
PASS  signin          dark   390    11.34  4.5  Portals                
PASS  overview        dark   1440   12.35  4.5  USC                    
PASS  landing         light  390    12.52  4.5  HAUUSC                 
PASS  signin          light  390    12.52  4.5  HAUUSC                 
PASS  public-request  dark   390    12.65  4.5  Request Center         
PASS  public-lending  dark   390    12.98  4.5  Lending Center         
PASS  landing         dark   390    13.14  4.5  HAUUSC                 
PASS  public-request  dark   1440   13.28  4.5  Request Center         
PASS  public-lending  dark   1440   13.36  4.5  Lending Center         

134/134 sampled text runs pass · 18 surface/theme/width combinations
