target          theme  width  scrollOverflow  clipped  blurLayers  blurArea  maxBlur  nestedBlur  shadowLayers  tapTargets  breaches
public-lending  light  320    0               0        4           0         10       0           5             5           .
public-lending  light  375    0               0        4           0         10       0           5             5           .
public-lending  light  390    0               0        4           1         10       0           5             5           .
public-lending  light  414    0               0        4           12        10       0           5             5           .
public-lending  light  768    0               0        4           28        14       0           5             9           .
public-lending  light  1024   0               0        4           33        14       0           5             9           .
public-lending  light  1440   0               0        4           30        14       0           5             9           .
public-lending  light  1920   0               0        4           22        14       0           5             9           .
public-lending  dark   320    0               0        4           0         10       0           5             5           .
public-lending  dark   375    0               0        4           0         10       0           5             5           .
public-lending  dark   390    0               0        4           1         10       0           5             5           .
public-lending  dark   414    0               0        4           12        10       0           5             5           .
public-lending  dark   768    0               0        4           28        14       0           5             9           .
public-lending  dark   1024   0               0        4           33        14       0           5             9           .
public-lending  dark   1440   0               0        4           30        14       0           5             9           .
public-lending  dark   1920   0               0        4           22        14       0           5             9           .
public-request  light  320    0               0        1           0         10       0           1             5           .
public-request  light  375    0               0        1           0         10       0           1             5           .
public-request  light  390    0               0        1           0         10       0           1             5           .
public-request  light  414    0               0        1           0         10       0           1             5           .
public-request  light  768    0               0        1           0         14       0           1             9           .
public-request  light  1024   0               0        1           24        14       0           1             9           .
public-request  light  1440   0               0        1           22        14       0           1             9           .
public-request  light  1920   0               0        1           17        14       0           1             9           .
public-request  dark   320    0               0        1           0         10       0           1             5           .
public-request  dark   375    0               0        1           0         10       0           1             5           .
public-request  dark   390    0               0        1           0         10       0           1             5           .
public-request  dark   414    0               0        1           0         10       0           1             5           .
public-request  dark   768    0               0        1           0         14       0           1             9           .
public-request  dark   1024   0               0        1           24        14       0           1             9           .
public-request  dark   1440   0               0        1           22        14       0           1             9           .
public-request  dark   1920   0               0        1           17        14       0           1             9           .
overview        light  320    0               0        0           0         0        0           11            1           .
overview        light  375    0               0        0           0         0        0           11            1           .
overview        light  390    0               0        0           0         0        0           11            1           .
overview        light  414    0               0        0           0         0        0           11            1           .
overview        light  768    0               0        0           0         0        0           11            1           .
overview        light  1024   0               0        0           0         0        0           9             1           .
overview        light  1440   0               0        0           0         0        0           9             1           .
overview        light  1920   0               0        0           0         0        0           9             1           .
overview        dark   320    0               0        0           0         0        0           11            1           .
overview        dark   375    0               0        0           0         0        0           11            1           .
overview        dark   390    0               0        0           0         0        0           11            1           .
overview        dark   414    0               0        0           0         0        0           11            1           .
overview        dark   768    0               0        0           0         0        0           11            1           .
overview        dark   1024   0               0        0           0         0        0           9             1           .
overview        dark   1440   0               0        0           0         0        0           9             1           .
overview        dark   1920   0               0        0           0         0        0           9             1           .
inventory       light  320    0               0        0           0         0        0           9             1           .
inventory       light  375    0               0        0           0         0        0           9             1           .
inventory       light  390    0               0        0           0         0        0           9             1           .
inventory       light  414    0               0        0           0         0        0           9             1           .
inventory       light  768    0               0        0           0         0        0           9             1           .
inventory       light  1024   0               0        0           0         0        0           7             1           .
inventory       light  1440   0               0        0           0         0        0           7             1           .
inventory       light  1920   0               0        0           0         0        0           7             1           .
inventory       dark   320    0               0        0           0         0        0           9             1           .
inventory       dark   375    0               0        0           0         0        0           9             1           .
inventory       dark   390    0               0        0           0         0        0           9             1           .
inventory       dark   414    0               0        0           0         0        0           9             1           .
inventory       dark   768    0               0        0           0         0        0           9             1           .
inventory       dark   1024   0               0        0           0         0        0           7             1           .
inventory       dark   1440   0               0        0           0         0        0           7             1           .
inventory       dark   1920   0               0        0           0         0        0           7             1           .
release         light  320    0               0        0           0         0        0           10            1           .
release         light  375    0               0        0           0         0        0           10            1           .
release         light  390    0               0        0           0         0        0           10            1           .
release         light  414    0               0        0           0         0        0           10            1           .
release         light  768    0               0        0           0         0        0           10            1           .
release         light  1024   0               0        0           0         0        0           8             1           .
release         light  1440   0               0        0           0         0        0           8             1           .
release         light  1920   0               0        0           0         0        0           8             1           .
release         dark   320    0               0        0           0         0        0           10            1           .
release         dark   375    0               0        0           0         0        0           10            1           .
release         dark   390    0               0        0           0         0        0           10            1           .
release         dark   414    0               0        0           0         0        0           10            1           .
release         dark   768    0               0        0           0         0        0           10            1           .
release         dark   1024   0               0        0           0         0        0           8             1           .
release         dark   1440   0               0        0           0         0        0           8             1           .
release         dark   1920   0               0        0           0         0        0           8             1           .

80/80 width/theme/surface combinations pass
tapTargets is REPORTED, not gated: it counts standalone controls under 44x44, which the
project treats as a practical goal rather than an acceptance floor. 80 combinations carry at least one.
